time	V(n001)
0.00000000e+00	0.00000000e+00
2.00000000e-04	5.16099227e-02
4.00000000e-04	1.03300126e-01
6.00000000e-04	1.54864795e-01
8.00000000e-04	2.06097412e-01
1.00000000e-03	2.56791581e-01
1.20000000e-03	3.06741865e-01
1.40000000e-03	3.55744623e-01
1.60000000e-03	4.03598846e-01
1.80000000e-03	4.50106983e-01
2.00000000e-03	4.95075769e-01
2.20000000e-03	5.38317028e-01
2.40000000e-03	5.79648471e-01
2.60000000e-03	6.18894470e-01
2.80000000e-03	6.55886813e-01
3.00000000e-03	6.90465427e-01
3.20000000e-03	7.22479084e-01
3.40000000e-03	7.51786061e-01
3.60000000e-03	7.78254777e-01
3.80000000e-03	8.01764386e-01
4.00000000e-03	8.22205333e-01
4.20000000e-03	8.39479863e-01
4.40000000e-03	8.53502489e-01
4.60000000e-03	8.64200408e-01
4.80000000e-03	8.71513873e-01
5.00000000e-03	8.75396507e-01
5.20000000e-03	8.75815569e-01
5.40000000e-03	8.72752162e-01
5.60000000e-03	8.66201383e-01
5.80000000e-03	8.56172427e-01
6.00000000e-03	8.42688617e-01
6.20000000e-03	8.25787388e-01
6.40000000e-03	8.05520212e-01
6.60000000e-03	7.81952453e-01
6.80000000e-03	7.55163179e-01
7.00000000e-03	7.25244905e-01
7.20000000e-03	6.92303287e-01
7.40000000e-03	6.56456748e-01
7.60000000e-03	6.17836065e-01
7.80000000e-03	5.76583889e-01
8.00000000e-03	5.32854219e-01
8.20000000e-03	4.86811826e-01
8.40000000e-03	4.38631628e-01
8.60000000e-03	3.88498021e-01
8.80000000e-03	3.36604165e-01
9.00000000e-03	2.83151232e-01
9.20000000e-03	2.28347616e-01
9.40000000e-03	1.72408109e-01
9.60000000e-03	1.15553047e-01
9.80000000e-03	5.80074257e-02
1.00000000e-02	5.24439782e-16
1.02000000e-02	-5.82376457e-02
1.04000000e-02	-1.16472037e-01
1.06000000e-02	-1.74468763e-01
1.08000000e-02	-2.31993439e-01
1.10000000e-02	-2.88812672e-01
1.12000000e-02	-3.44695028e-01
1.14000000e-02	-3.99411990e-01
1.16000000e-02	-4.52738918e-01
1.18000000e-02	-5.04455989e-01
1.20000000e-02	-5.54349119e-01
1.22000000e-02	-6.02210874e-01
1.24000000e-02	-6.47841350e-01
1.26000000e-02	-6.91049023e-01
1.28000000e-02	-7.31651577e-01
1.30000000e-02	-7.69476685e-01
1.32000000e-02	-8.04362761e-01
1.34000000e-02	-8.36159661e-01
1.36000000e-02	-8.64729348e-01
1.38000000e-02	-8.89946502e-01
1.40000000e-02	-9.11699080e-01
1.42000000e-02	-9.29888825e-01
1.44000000e-02	-9.44431716e-01
1.46000000e-02	-9.55258362e-01
1.48000000e-02	-9.62314335e-01
1.50000000e-02	-9.65560442e-01
1.52000000e-02	-9.64972930e-01
1.54000000e-02	-9.60543637e-01
1.56000000e-02	-9.52280064e-01
1.58000000e-02	-9.40205396e-01
1.60000000e-02	-9.24358445e-01
1.62000000e-02	-9.04793533e-01
1.64000000e-02	-8.81580313e-01
1.66000000e-02	-8.54803516e-01
1.68000000e-02	-8.24562642e-01
1.70000000e-02	-7.90971585e-01
1.72000000e-02	-7.54158196e-01
1.74000000e-02	-7.14263788e-01
1.76000000e-02	-6.71442581e-01
1.78000000e-02	-6.25861095e-01
1.80000000e-02	-5.77697485e-01
1.82000000e-02	-5.27140829e-01
1.84000000e-02	-4.74390369e-01
1.86000000e-02	-4.19654703e-01
1.88000000e-02	-3.63150944e-01
1.90000000e-02	-3.05103833e-01
1.92000000e-02	-2.45744821e-01
1.94000000e-02	-1.85311127e-01
1.96000000e-02	-1.24044758e-01
1.98000000e-02	-6.21915200e-02
2.00000000e-02	-1.12310711e-15
2.02000000e-02	6.22794562e-02
2.04000000e-02	1.24395781e-01
2.06000000e-02	1.86098227e-01
2.08000000e-02	2.47137402e-01
2.10000000e-02	3.07266311e-01
2.12000000e-02	3.66241379e-01
2.14000000e-02	4.23823468e-01
2.16000000e-02	4.79778874e-01
2.18000000e-02	5.33880299e-01
2.20000000e-02	5.85907806e-01
2.22000000e-02	6.35649732e-01
2.24000000e-02	6.82903580e-01
2.26000000e-02	7.27476861e-01
2.28000000e-02	7.69187905e-01
2.30000000e-02	8.07866621e-01
2.32000000e-02	8.43355210e-01
2.34000000e-02	8.75508827e-01
2.36000000e-02	9.04196191e-01
2.38000000e-02	9.29300134e-01
2.40000000e-02	9.50718096e-01
2.42000000e-02	9.68362555e-01
2.44000000e-02	9.82161392e-01
2.46000000e-02	9.92058201e-01
2.48000000e-02	9.98012519e-01
2.50000000e-02	1.00000000e+00
2.52000000e-02	9.98012519e-01
2.54000000e-02	9.92058201e-01
2.56000000e-02	9.82161392e-01
2.58000000e-02	9.68362555e-01
2.60000000e-02	9.50718096e-01
2.62000000e-02	9.29300134e-01
2.64000000e-02	9.04196191e-01
2.66000000e-02	8.75508827e-01
2.68000000e-02	8.43355210e-01
2.70000000e-02	8.07866621e-01
2.72000000e-02	7.69187905e-01
2.74000000e-02	7.27476861e-01
2.76000000e-02	6.82903580e-01
2.78000000e-02	6.35649732e-01
2.80000000e-02	5.85907806e-01
2.82000000e-02	5.33880299e-01
2.84000000e-02	4.79778874e-01
2.86000000e-02	4.23823468e-01
2.88000000e-02	3.66241379e-01
2.90000000e-02	3.07266311e-01
2.92000000e-02	2.47137402e-01
2.94000000e-02	1.86098227e-01
2.96000000e-02	1.24395781e-01
2.98000000e-02	6.22794562e-02
3.00000000e-02	3.64151466e-16
3.02000000e-02	-6.21915200e-02
3.04000000e-02	-1.24044758e-01
3.06000000e-02	-1.85311127e-01
3.08000000e-02	-2.45744821e-01
3.10000000e-02	-3.05103833e-01
3.12000000e-02	-3.63150944e-01
3.14000000e-02	-4.19654703e-01
3.16000000e-02	-4.74390369e-01
3.18000000e-02	-5.27140829e-01
3.20000000e-02	-5.77697485e-01
3.22000000e-02	-6.25861095e-01
3.24000000e-02	-6.71442581e-01
3.26000000e-02	-7.14263788e-01
3.28000000e-02	-7.54158196e-01
3.30000000e-02	-7.90971585e-01
3.32000000e-02	-8.24562642e-01
3.34000000e-02	-8.54803516e-01
3.36000000e-02	-8.81580313e-01
3.38000000e-02	-9.04793533e-01
3.40000000e-02	-9.24358445e-01
3.42000000e-02	-9.40205396e-01
3.44000000e-02	-9.52280064e-01
3.46000000e-02	-9.60543637e-01
3.48000000e-02	-9.64972930e-01
3.50000000e-02	-9.65560442e-01
3.52000000e-02	-9.62314335e-01
3.54000000e-02	-9.55258362e-01
3.56000000e-02	-9.44431716e-01
3.58000000e-02	-9.29888825e-01
3.60000000e-02	-9.11699080e-01
3.62000000e-02	-8.89946502e-01
3.64000000e-02	-8.64729348e-01
3.66000000e-02	-8.36159661e-01
3.68000000e-02	-8.04362761e-01
3.70000000e-02	-7.69476685e-01
3.72000000e-02	-7.31651577e-01
3.74000000e-02	-6.91049023e-01
3.76000000e-02	-6.47841350e-01
3.78000000e-02	-6.02210874e-01
3.80000000e-02	-5.54349119e-01
3.82000000e-02	-5.04455989e-01
3.84000000e-02	-4.52738918e-01
3.86000000e-02	-3.99411990e-01
3.88000000e-02	-3.44695028e-01
3.90000000e-02	-2.88812672e-01
3.92000000e-02	-2.31993439e-01
3.94000000e-02	-1.74468763e-01
3.96000000e-02	-1.16472037e-01
3.98000000e-02	-5.82376457e-02
4.00000000e-02	-2.09775913e-15
4.02000000e-02	5.80074257e-02
4.04000000e-02	1.15553047e-01
4.06000000e-02	1.72408109e-01
4.08000000e-02	2.28347616e-01
4.10000000e-02	2.83151232e-01
4.12000000e-02	3.36604165e-01
4.14000000e-02	3.88498021e-01
4.16000000e-02	4.38631628e-01
4.18000000e-02	4.86811826e-01
4.20000000e-02	5.32854219e-01
4.22000000e-02	5.76583889e-01
4.24000000e-02	6.17836065e-01
4.26000000e-02	6.56456748e-01
4.28000000e-02	6.92303287e-01
4.30000000e-02	7.25244905e-01
4.32000000e-02	7.55163179e-01
4.34000000e-02	7.81952453e-01
4.36000000e-02	8.05520212e-01
4.38000000e-02	8.25787388e-01
4.40000000e-02	8.42688617e-01
4.42000000e-02	8.56172427e-01
4.44000000e-02	8.66201383e-01
4.46000000e-02	8.72752162e-01
4.48000000e-02	8.75815569e-01
4.50000000e-02	8.75396507e-01
4.52000000e-02	8.71513873e-01
4.54000000e-02	8.64200408e-01
4.56000000e-02	8.53502489e-01
4.58000000e-02	8.39479863e-01
4.60000000e-02	8.22205333e-01
4.62000000e-02	8.01764386e-01
4.64000000e-02	7.78254777e-01
4.66000000e-02	7.51786061e-01
4.68000000e-02	7.22479084e-01
4.70000000e-02	6.90465427e-01
4.72000000e-02	6.55886813e-01
4.74000000e-02	6.18894470e-01
4.76000000e-02	5.79648471e-01
4.78000000e-02	5.38317028e-01
4.80000000e-02	4.95075769e-01
4.82000000e-02	4.50106983e-01
4.84000000e-02	4.03598846e-01
4.86000000e-02	3.55744623e-01
4.88000000e-02	3.06741865e-01
4.90000000e-02	2.56791581e-01
4.92000000e-02	2.06097412e-01
4.94000000e-02	1.54864795e-01
4.96000000e-02	1.03300126e-01
4.98000000e-02	5.16099227e-02
5.00000000e-02	5.01904426e-16
5.02000000e-02	-5.13253552e-02
5.04000000e-02	-1.02164191e-01
5.06000000e-02	-1.52317687e-01
5.08000000e-02	-2.01590927e-01
5.10000000e-02	-2.49793656e-01
5.12000000e-02	-2.96741009e-01
5.14000000e-02	-3.42254216e-01
5.16000000e-02	-3.86161276e-01
5.18000000e-02	-4.28297599e-01
5.20000000e-02	-4.68506612e-01
5.22000000e-02	-5.06640332e-01
5.24000000e-02	-5.42559900e-01
5.26000000e-02	-5.76136067e-01
5.28000000e-02	-6.07249651e-01
5.30000000e-02	-6.35791941e-01
5.32000000e-02	-6.61665056e-01
5.34000000e-02	-6.84782267e-01
5.36000000e-02	-7.05068260e-01
5.38000000e-02	-7.22459361e-01
5.40000000e-02	-7.36903710e-01
5.42000000e-02	-7.48361385e-01
5.44000000e-02	-7.56804480e-01
5.46000000e-02	-7.62217135e-01
5.48000000e-02	-7.64595518e-01
5.50000000e-02	-7.63947755e-01
5.52000000e-02	-7.60293821e-01
5.54000000e-02	-7.53665382e-01
5.56000000e-02	-7.44105585e-01
5.58000000e-02	-7.31668821e-01
5.60000000e-02	-7.16420426e-01
5.62000000e-02	-6.98436359e-01
5.64000000e-02	-6.77802825e-01
5.66000000e-02	-6.54615875e-01
5.68000000e-02	-6.28980962e-01
5.70000000e-02	-6.01012462e-01
5.72000000e-02	-5.70833177e-01
5.74000000e-02	-5.38573788e-01
5.76000000e-02	-5.04372305e-01
5.78000000e-02	-4.68373471e-01
5.80000000e-02	-4.30728162e-01
5.82000000e-02	-3.91592756e-01
5.84000000e-02	-3.51128493e-01
5.86000000e-02	-3.09500818e-01
5.88000000e-02	-2.66878708e-01
5.90000000e-02	-2.23434005e-01
5.92000000e-02	-1.79340723e-01
5.94000000e-02	-1.34774374e-01
5.96000000e-02	-8.99112706e-02
5.98000000e-02	-4.49278522e-02
