time	V(n001)
0.00000000e+00	0.00000000e+00
2.00000000e-04	5.34507427e-02
4.00000000e-04	1.06984629e-01
6.00000000e-04	1.60388505e-01
8.00000000e-04	2.13448484e-01
1.00000000e-03	2.65950809e-01
1.20000000e-03	3.17682717e-01
1.40000000e-03	3.68433303e-01
1.60000000e-03	4.17994388e-01
1.80000000e-03	4.66161375e-01
2.00000000e-03	5.12734105e-01
2.20000000e-03	5.57517691e-01
2.40000000e-03	6.00323341e-01
2.60000000e-03	6.40969165e-01
2.80000000e-03	6.79280949e-01
3.00000000e-03	7.15092911e-01
3.20000000e-03	7.48248429e-01
3.40000000e-03	7.78600726e-01
3.60000000e-03	8.06013527e-01
3.80000000e-03	8.30361676e-01
4.00000000e-03	8.51531709e-01
4.20000000e-03	8.69422386e-01
4.40000000e-03	8.83945170e-01
4.60000000e-03	8.95024662e-01
4.80000000e-03	9.02598983e-01
5.00000000e-03	9.06620103e-01
5.20000000e-03	9.07054112e-01
5.40000000e-03	9.03881439e-01
5.60000000e-03	8.97097008e-01
5.80000000e-03	8.86710339e-01
6.00000000e-03	8.72745589e-01
6.20000000e-03	8.55241529e-01
6.40000000e-03	8.34251464e-01
6.60000000e-03	8.09843091e-01
6.80000000e-03	7.82098299e-01
7.00000000e-03	7.51112902e-01
7.20000000e-03	7.16996324e-01
7.40000000e-03	6.79871213e-01
7.60000000e-03	6.39873009e-01
7.80000000e-03	5.97149453e-01
8.00000000e-03	5.51860035e-01
8.20000000e-03	5.04175404e-01
8.40000000e-03	4.54276718e-01
8.60000000e-03	4.02354948e-01
8.80000000e-03	3.48610144e-01
9.00000000e-03	2.93250655e-01
9.20000000e-03	2.36492307e-01
9.40000000e-03	1.78557553e-01
9.60000000e-03	1.19674587e-01
9.80000000e-03	6.00764315e-02
1.00000000e-02	5.43145473e-16
1.02000000e-02	-6.03148629e-02
1.04000000e-02	-1.20626355e-01
1.06000000e-02	-1.80691706e-01
1.08000000e-02	-2.40268169e-01
1.10000000e-02	-2.99114027e-01
1.12000000e-02	-3.56989592e-01
1.14000000e-02	-4.13658195e-01
1.16000000e-02	-4.68887186e-01
1.18000000e-02	-5.22448898e-01
1.20000000e-02	-5.74121614e-01
1.22000000e-02	-6.23690500e-01
1.24000000e-02	-6.70948520e-01
1.26000000e-02	-7.15697323e-01
1.28000000e-02	-7.57748087e-01
1.30000000e-02	-7.96922339e-01
1.32000000e-02	-8.33052729e-01
1.34000000e-02	-8.65983759e-01
1.36000000e-02	-8.95572468e-01
1.38000000e-02	-9.21689066e-01
1.40000000e-02	-9.44217514e-01
1.42000000e-02	-9.63056050e-01
1.44000000e-02	-9.78117656e-01
1.46000000e-02	-9.89330466e-01
1.48000000e-02	-9.96638112e-01
1.50000000e-02	-1.00000000e+00
1.52000000e-02	-9.99391533e-01
1.54000000e-02	-9.94804256e-01
1.56000000e-02	-9.86245939e-01
1.58000000e-02	-9.73740592e-01
1.60000000e-02	-9.57328413e-01
1.62000000e-02	-9.37065661e-01
1.64000000e-02	-9.13024473e-01
1.66000000e-02	-8.85292602e-01
1.68000000e-02	-8.53973098e-01
1.70000000e-02	-8.19183917e-01
1.72000000e-02	-7.81057470e-01
1.74000000e-02	-7.39740111e-01
1.76000000e-02	-6.95391559e-01
1.78000000e-02	-6.48184275e-01
1.80000000e-02	-5.98302768e-01
1.82000000e-02	-5.45942860e-01
1.84000000e-02	-4.91310899e-01
1.86000000e-02	-4.34622925e-01
1.88000000e-02	-3.76103793e-01
1.90000000e-02	-3.15986260e-01
1.92000000e-02	-2.54510035e-01
1.94000000e-02	-1.91920795e-01
1.96000000e-02	-1.28469180e-01
1.98000000e-02	-6.44097638e-02
2.00000000e-02	-5.81583019e-16
2.02000000e-02	3.22504182e-02
2.04000000e-02	6.44163618e-02
2.06000000e-02	9.63679842e-02
2.08000000e-02	1.27976143e-01
2.10000000e-02	1.59112935e-01
2.12000000e-02	1.89652228e-01
2.14000000e-02	2.19470190e-01
2.16000000e-02	2.48445801e-01
2.18000000e-02	2.76461357e-01
2.20000000e-02	3.03402967e-01
2.22000000e-02	3.29161027e-01
2.24000000e-02	3.53630674e-01
2.26000000e-02	3.76712234e-01
2.28000000e-02	3.98311629e-01
2.30000000e-02	4.18340783e-01
2.32000000e-02	4.36717979e-01
2.34000000e-02	4.53368215e-01
2.36000000e-02	4.68223506e-01
2.38000000e-02	4.81223181e-01
2.40000000e-02	4.92314129e-01
2.42000000e-02	5.01451029e-01
2.44000000e-02	5.08596536e-01
2.46000000e-02	5.13721440e-01
2.48000000e-02	5.16804788e-01
2.50000000e-02	5.17833973e-01
2.52000000e-02	5.16804788e-01
2.54000000e-02	5.13721440e-01
2.56000000e-02	5.08596536e-01
2.58000000e-02	5.01451029e-01
2.60000000e-02	4.92314129e-01
2.62000000e-02	4.81223181e-01
2.64000000e-02	4.68223506e-01
2.66000000e-02	4.53368215e-01
2.68000000e-02	4.36717979e-01
2.70000000e-02	4.18340783e-01
2.72000000e-02	3.98311629e-01
2.74000000e-02	3.76712234e-01
2.76000000e-02	3.53630674e-01
2.78000000e-02	3.29161027e-01
2.80000000e-02	3.03402967e-01
2.82000000e-02	2.76461357e-01
2.84000000e-02	2.48445801e-01
2.86000000e-02	2.19470190e-01
2.88000000e-02	1.89652228e-01
2.90000000e-02	1.59112935e-01
2.92000000e-02	1.27976143e-01
2.94000000e-02	9.63679842e-02
2.96000000e-02	6.44163618e-02
2.98000000e-02	3.22504182e-02
3.00000000e-02	1.88570001e-16
3.02000000e-02	-3.22048819e-02
3.04000000e-02	-6.42345901e-02
3.06000000e-02	-9.59603973e-02
3.08000000e-02	-1.27255017e-01
3.10000000e-02	-1.57993130e-01
3.12000000e-02	-1.88051896e-01
3.14000000e-02	-2.17311462e-01
3.16000000e-02	-2.45655449e-01
3.18000000e-02	-2.72971430e-01
3.20000000e-02	-2.99151384e-01
3.22000000e-02	-3.24092138e-01
3.24000000e-02	-3.47695780e-01
3.26000000e-02	-3.69870055e-01
3.28000000e-02	-3.90528735e-01
3.30000000e-02	-4.09591959e-01
3.32000000e-02	-4.26986549e-01
3.34000000e-02	-4.42646301e-01
3.36000000e-02	-4.56512236e-01
3.38000000e-02	-4.68532831e-01
3.40000000e-02	-4.78664206e-01
3.42000000e-02	-4.86870296e-01
3.44000000e-02	-4.93122969e-01
3.46000000e-02	-4.97402128e-01
3.48000000e-02	-4.99695767e-01
3.50000000e-02	-5.00000000e-01
3.52000000e-02	-4.98319056e-01
3.54000000e-02	-4.94665233e-01
3.56000000e-02	-4.89058828e-01
3.58000000e-02	-4.81528025e-01
3.60000000e-02	-4.72108757e-01
3.62000000e-02	-4.60844533e-01
3.64000000e-02	-4.47786234e-01
3.66000000e-02	-4.32991879e-01
3.68000000e-02	-4.16526364e-01
3.70000000e-02	-3.98461169e-01
3.72000000e-02	-3.78874043e-01
3.74000000e-02	-3.57848661e-01
3.76000000e-02	-3.35474260e-01
3.78000000e-02	-3.11845250e-01
3.80000000e-02	-2.87060807e-01
3.82000000e-02	-2.61224449e-01
3.84000000e-02	-2.34443593e-01
3.86000000e-02	-2.06829098e-01
3.88000000e-02	-1.78494796e-01
3.90000000e-02	-1.49557014e-01
3.92000000e-02	-1.20134084e-01
3.94000000e-02	-9.03458528e-02
3.96000000e-02	-6.03131776e-02
3.98000000e-02	-3.01574315e-02
4.00000000e-02	-2.17258189e-15
4.02000000e-02	6.00764315e-02
4.04000000e-02	1.19674587e-01
4.06000000e-02	1.78557553e-01
4.08000000e-02	2.36492307e-01
4.10000000e-02	2.93250655e-01
4.12000000e-02	3.48610144e-01
4.14000000e-02	4.02354948e-01
4.16000000e-02	4.54276718e-01
4.18000000e-02	5.04175404e-01
4.20000000e-02	5.51860035e-01
4.22000000e-02	5.97149453e-01
4.24000000e-02	6.39873009e-01
4.26000000e-02	6.79871213e-01
4.28000000e-02	7.16996324e-01
4.30000000e-02	7.51112902e-01
4.32000000e-02	7.82098299e-01
4.34000000e-02	8.09843091e-01
4.36000000e-02	8.34251464e-01
4.38000000e-02	8.55241529e-01
4.40000000e-02	8.72745589e-01
4.42000000e-02	8.86710339e-01
4.44000000e-02	8.97097008e-01
4.46000000e-02	9.03881439e-01
4.48000000e-02	9.07054112e-01
4.50000000e-02	9.06620103e-01
4.52000000e-02	9.02598983e-01
4.54000000e-02	8.95024662e-01
4.56000000e-02	8.83945170e-01
4.58000000e-02	8.69422386e-01
4.60000000e-02	8.51531709e-01
4.62000000e-02	8.30361676e-01
4.64000000e-02	8.06013527e-01
4.66000000e-02	7.78600726e-01
4.68000000e-02	7.48248429e-01
4.70000000e-02	7.15092911e-01
4.72000000e-02	6.79280949e-01
4.74000000e-02	6.40969165e-01
4.76000000e-02	6.00323341e-01
4.78000000e-02	5.57517691e-01
4.80000000e-02	5.12734105e-01
4.82000000e-02	4.66161375e-01
4.84000000e-02	4.17994388e-01
4.86000000e-02	3.68433303e-01
4.88000000e-02	3.17682717e-01
4.90000000e-02	2.65950809e-01
4.92000000e-02	2.13448484e-01
4.94000000e-02	1.60388505e-01
4.96000000e-02	1.06984629e-01
4.98000000e-02	5.34507427e-02
5.00000000e-02	5.19806326e-16
5.02000000e-02	-5.31560252e-02
5.04000000e-02	-1.05808178e-01
5.06000000e-02	-1.57750547e-01
5.08000000e-02	-2.08781262e-01
5.10000000e-02	-2.58703283e-01
5.12000000e-02	-3.07325151e-01
5.14000000e-02	-3.54461721e-01
5.16000000e-02	-3.99934856e-01
5.18000000e-02	-4.43574095e-01
5.20000000e-02	-4.85217281e-01
5.22000000e-02	-5.24711153e-01
5.24000000e-02	-5.61911897e-01
5.26000000e-02	-5.96685657e-01
5.28000000e-02	-6.28908999e-01
5.30000000e-02	-6.58469334e-01
5.32000000e-02	-6.85265290e-01
5.34000000e-02	-7.09207044e-01
5.36000000e-02	-7.30216597e-01
5.38000000e-02	-7.48228003e-01
5.40000000e-02	-7.63187552e-01
5.42000000e-02	-7.75053899e-01
5.44000000e-02	-7.83798142e-01
5.46000000e-02	-7.89403856e-01
5.48000000e-02	-7.91867070e-01
5.50000000e-02	-7.91196203e-01
5.52000000e-02	-7.87411941e-01
5.54000000e-02	-7.80547078e-01
5.56000000e-02	-7.70646303e-01
5.58000000e-02	-7.57765945e-01
5.60000000e-02	-7.41973672e-01
5.62000000e-02	-7.23348150e-01
5.64000000e-02	-7.01978660e-01
5.66000000e-02	-6.77964679e-01
5.68000000e-02	-6.51415421e-01
5.70000000e-02	-6.22449343e-01
5.72000000e-02	-5.91193624e-01
5.74000000e-02	-5.57783610e-01
5.76000000e-02	-5.22362229e-01
5.78000000e-02	-4.85079391e-01
5.80000000e-02	-4.46091351e-01
5.82000000e-02	-4.05560066e-01
5.84000000e-02	-3.63652526e-01
5.86000000e-02	-3.20540076e-01
5.88000000e-02	-2.76397724e-01
5.90000000e-02	-2.31403437e-01
5.92000000e-02	-1.85737439e-01
5.94000000e-02	-1.39581499e-01
5.96000000e-02	-9.31182211e-02
5.98000000e-02	-4.65303365e-02
