time	V(n001)
0.00000000e+00	0.00000000e+00
2.00000000e-04	3.55930502e-02
4.00000000e-04	7.12414661e-02
6.00000000e-04	1.06803307e-01
8.00000000e-04	1.42136146e-01
1.00000000e-03	1.77097642e-01
1.20000000e-03	2.11546114e-01
1.40000000e-03	2.45341119e-01
1.60000000e-03	2.78344031e-01
1.80000000e-03	3.10418609e-01
2.00000000e-03	3.41431565e-01
2.20000000e-03	3.71253123e-01
2.40000000e-03	3.99757566e-01
2.60000000e-03	4.26823772e-01
2.80000000e-03	4.52335733e-01
3.00000000e-03	4.76183053e-01
3.20000000e-03	4.98261437e-01
3.40000000e-03	5.18473145e-01
3.60000000e-03	5.36727432e-01
3.80000000e-03	5.52940956e-01
4.00000000e-03	5.67038161e-01
4.20000000e-03	5.78951630e-01
4.40000000e-03	5.88622406e-01
4.60000000e-03	5.96000281e-01
4.80000000e-03	6.01044050e-01
5.00000000e-03	6.03721729e-01
5.20000000e-03	6.04010737e-01
5.40000000e-03	6.01898042e-01
5.60000000e-03	5.97380264e-01
5.80000000e-03	5.90463743e-01
6.00000000e-03	5.81164563e-01
6.20000000e-03	5.69508544e-01
6.40000000e-03	5.55531181e-01
6.60000000e-03	5.39277554e-01
6.80000000e-03	5.20802192e-01
7.00000000e-03	5.00168900e-01
7.20000000e-03	4.77450543e-01
7.40000000e-03	4.52728792e-01
7.60000000e-03	4.26093838e-01
7.80000000e-03	3.97644062e-01
8.00000000e-03	3.67485668e-01
8.20000000e-03	3.35732294e-01
8.40000000e-03	3.02504571e-01
8.60000000e-03	2.67929670e-01
8.80000000e-03	2.32140803e-01
9.00000000e-03	1.95276712e-01
9.20000000e-03	1.57481115e-01
9.40000000e-03	1.18902144e-01
9.60000000e-03	7.96917563e-02
9.80000000e-03	4.00051212e-02
1.00000000e-02	3.61682608e-16
1.02000000e-02	-4.01638936e-02
1.04000000e-02	-8.03255427e-02
1.06000000e-02	-1.20323285e-01
1.08000000e-02	-1.59995475e-01
1.10000000e-02	-1.99181153e-01
1.12000000e-02	-2.37720709e-01
1.14000000e-02	-2.75456545e-01
1.16000000e-02	-3.12233737e-01
1.18000000e-02	-3.47900682e-01
1.20000000e-02	-3.82309737e-01
1.22000000e-02	-4.15317844e-01
1.24000000e-02	-4.46787138e-01
1.26000000e-02	-4.76585533e-01
1.28000000e-02	-5.04587295e-01
1.30000000e-02	-5.30673576e-01
1.32000000e-02	-5.54732938e-01
1.34000000e-02	-5.76661835e-01
1.36000000e-02	-5.96365067e-01
1.38000000e-02	-6.13756208e-01
1.40000000e-02	-6.28757986e-01
1.42000000e-02	-6.41302638e-01
1.44000000e-02	-6.51332218e-01
1.46000000e-02	-6.58798870e-01
1.48000000e-02	-6.63665059e-01
1.50000000e-02	-6.65903753e-01
1.52000000e-02	-6.65498572e-01
1.54000000e-02	-6.62443887e-01
1.56000000e-02	-6.56744872e-01
1.58000000e-02	-6.48417515e-01
1.60000000e-02	-6.37488583e-01
1.62000000e-02	-6.23995540e-01
1.64000000e-02	-6.07986423e-01
1.66000000e-02	-5.89519666e-01
1.68000000e-02	-5.68663891e-01
1.70000000e-02	-5.45497645e-01
1.72000000e-02	-5.20109101e-01
1.74000000e-02	-4.92595716e-01
1.76000000e-02	-4.63063849e-01
1.78000000e-02	-4.31628342e-01
1.80000000e-02	-3.98412059e-01
1.82000000e-02	-3.63545399e-01
1.84000000e-02	-3.27165771e-01
1.86000000e-02	-2.89417037e-01
1.88000000e-02	-2.50448927e-01
1.90000000e-02	-2.10416436e-01
1.92000000e-02	-1.69479187e-01
1.94000000e-02	-1.27800777e-01
1.96000000e-02	-8.55481092e-02
1.98000000e-02	-4.28907034e-02
2.00000000e-02	-1.12310711e-15
2.02000000e-02	6.22794562e-02
2.04000000e-02	1.24395781e-01
2.06000000e-02	1.86098227e-01
2.08000000e-02	2.47137402e-01
2.10000000e-02	3.07266311e-01
2.12000000e-02	3.66241379e-01
2.14000000e-02	4.23823468e-01
