time	V(n001)
0.00000000e+00	0.00000000e+00
2.00000000e-04	1.56737766e-01
4.00000000e-04	3.03476179e-01
6.00000000e-04	4.31515255e-01
8.00000000e-04	5.34546954e-01
1.00000000e-03	6.09370122e-01
1.20000000e-03	6.56122285e-01
1.40000000e-03	6.78005735e-01
1.60000000e-03	6.80570879e-01
1.80000000e-03	6.70692686e-01
2.00000000e-03	6.55423442e-01
2.20000000e-03	6.40918808e-01
2.40000000e-03	6.31612688e-01
2.60000000e-03	6.29764341e-01
2.80000000e-03	6.35428765e-01
3.00000000e-03	6.46822551e-01
3.20000000e-03	6.60986789e-01
3.40000000e-03	6.74599243e-01
3.60000000e-03	6.84768419e-01
3.80000000e-03	6.89655172e-01
4.00000000e-03	6.88809780e-01
4.20000000e-03	6.83174774e-01
4.40000000e-03	6.74773826e-01
4.60000000e-03	6.66170512e-01
4.80000000e-03	6.59825514e-01
5.00000000e-03	6.57498206e-01
5.20000000e-03	6.59825514e-01
5.40000000e-03	6.66170512e-01
5.60000000e-03	6.74773826e-01
5.80000000e-03	6.83174774e-01
6.00000000e-03	6.88809780e-01
6.20000000e-03	6.89655172e-01
6.40000000e-03	6.84768419e-01
6.60000000e-03	6.74599243e-01
6.80000000e-03	6.60986789e-01
7.00000000e-03	6.46822551e-01
7.20000000e-03	6.35428765e-01
7.40000000e-03	6.29764341e-01
7.60000000e-03	6.31612688e-01
7.80000000e-03	6.40918808e-01
8.00000000e-03	6.55423442e-01
8.20000000e-03	6.70692686e-01
8.40000000e-03	6.80570879e-01
8.60000000e-03	6.78005735e-01
8.80000000e-03	6.56122285e-01
9.00000000e-03	6.09370122e-01
9.20000000e-03	5.34546954e-01
9.40000000e-03	4.31515255e-01
9.60000000e-03	3.03476179e-01
9.80000000e-03	1.56737766e-01
1.00000000e-02	1.71332961e-15
1.02000000e-02	-1.56737766e-01
1.04000000e-02	-3.03476179e-01
1.06000000e-02	-4.31515255e-01
1.08000000e-02	-5.34546954e-01
1.10000000e-02	-6.09370122e-01
1.12000000e-02	-6.56122285e-01
1.14000000e-02	-6.78005735e-01
1.16000000e-02	-6.80570879e-01
1.18000000e-02	-6.70692686e-01
1.20000000e-02	-6.55423442e-01
1.22000000e-02	-6.40918808e-01
1.24000000e-02	-6.31612688e-01
1.26000000e-02	-6.29764341e-01
1.28000000e-02	-6.35428765e-01
1.30000000e-02	-6.46822551e-01
1.32000000e-02	-6.60986789e-01
1.34000000e-02	-6.74599243e-01
1.36000000e-02	-6.84768419e-01
1.38000000e-02	-6.89655172e-01
1.40000000e-02	-6.88809780e-01
1.42000000e-02	-6.83174774e-01
1.44000000e-02	-6.74773826e-01
1.46000000e-02	-6.66170512e-01
1.48000000e-02	-6.59825514e-01
1.50000000e-02	-6.57498206e-01
1.52000000e-02	-6.59825514e-01
1.54000000e-02	-6.66170512e-01
1.56000000e-02	-6.74773826e-01
1.58000000e-02	-6.83174774e-01
1.60000000e-02	-6.88809780e-01
1.62000000e-02	-6.89655172e-01
1.64000000e-02	-6.84768419e-01
1.66000000e-02	-6.74599243e-01
1.68000000e-02	-6.60986789e-01
1.70000000e-02	-6.46822551e-01
1.72000000e-02	-6.35428765e-01
1.74000000e-02	-6.29764341e-01
1.76000000e-02	-6.31612688e-01
1.78000000e-02	-6.40918808e-01
1.80000000e-02	-6.55423442e-01
1.82000000e-02	-6.70692686e-01
1.84000000e-02	-6.80570879e-01
1.86000000e-02	-6.78005735e-01
1.88000000e-02	-6.56122285e-01
1.90000000e-02	-6.09370122e-01
1.92000000e-02	-5.34546954e-01
1.94000000e-02	-4.31515255e-01
1.96000000e-02	-3.03476179e-01
1.98000000e-02	-1.56737766e-01
2.00000000e-02	-4.96865588e-15
2.02000000e-02	2.27269761e-01
2.04000000e-02	4.40040460e-01
2.06000000e-02	6.25697120e-01
2.08000000e-02	7.75093084e-01
2.10000000e-02	8.83586677e-01
2.12000000e-02	9.51377313e-01
2.14000000e-02	9.83108316e-01
2.16000000e-02	9.86827775e-01
2.18000000e-02	9.72504395e-01
2.20000000e-02	9.50363991e-01
2.22000000e-02	9.29332272e-01
2.24000000e-02	9.15838398e-01
2.26000000e-02	9.13158294e-01
2.28000000e-02	9.21371710e-01
2.30000000e-02	9.37892700e-01
2.32000000e-02	9.58430844e-01
2.34000000e-02	9.78168903e-01
2.36000000e-02	9.92914207e-01
2.38000000e-02	1.00000000e+00
2.40000000e-02	9.98774181e-01
2.42000000e-02	9.90603422e-01
2.44000000e-02	9.78422048e-01
2.46000000e-02	9.65947243e-01
2.48000000e-02	9.56746996e-01
2.50000000e-02	9.53372399e-01
2.52000000e-02	9.56746996e-01
2.54000000e-02	9.65947243e-01
2.56000000e-02	9.78422048e-01
2.58000000e-02	9.90603422e-01
2.60000000e-02	9.98774181e-01
2.62000000e-02	1.00000000e+00
2.64000000e-02	9.92914207e-01
2.66000000e-02	9.78168903e-01
2.68000000e-02	9.58430844e-01
2.70000000e-02	9.37892700e-01
2.72000000e-02	9.21371710e-01
2.74000000e-02	9.13158294e-01
2.76000000e-02	9.15838398e-01
2.78000000e-02	9.29332272e-01
2.80000000e-02	9.50363991e-01
2.82000000e-02	9.72504395e-01
2.84000000e-02	9.86827775e-01
2.86000000e-02	9.83108316e-01
2.88000000e-02	9.51377313e-01
2.90000000e-02	8.83586677e-01
2.92000000e-02	7.75093084e-01
2.94000000e-02	6.25697120e-01
2.96000000e-02	4.40040460e-01
2.98000000e-02	2.27269761e-01
3.00000000e-02	2.84401091e-15
