time	V(n001)
0.00000000e+00	0.00000000e+00
2.00000000e-04	6.27905195e-02
4.00000000e-04	1.25333234e-01
6.00000000e-04	1.87381315e-01
8.00000000e-04	2.48689887e-01
1.00000000e-03	3.09016994e-01
1.20000000e-03	3.68124553e-01
1.40000000e-03	4.25779292e-01
1.60000000e-03	4.81753674e-01
1.80000000e-03	5.35826795e-01
2.00000000e-03	5.87785252e-01
2.20000000e-03	6.37423990e-01
2.40000000e-03	6.84547106e-01
2.60000000e-03	7.28968627e-01
2.80000000e-03	7.70513243e-01
3.00000000e-03	8.09016994e-01
3.20000000e-03	8.44327926e-01
3.40000000e-03	8.76306680e-01
3.60000000e-03	9.04827052e-01
3.80000000e-03	9.29776486e-01
4.00000000e-03	9.51056516e-01
4.20000000e-03	9.68583161e-01
4.40000000e-03	9.82287251e-01
4.60000000e-03	9.92114701e-01
4.80000000e-03	9.98026728e-01
5.00000000e-03	1.00000000e+00
5.20000000e-03	9.98026728e-01
5.40000000e-03	9.92114701e-01
5.60000000e-03	9.82287251e-01
5.80000000e-03	9.68583161e-01
6.00000000e-03	9.51056516e-01
6.20000000e-03	9.29776486e-01
6.40000000e-03	9.04827052e-01
6.60000000e-03	8.76306680e-01
6.80000000e-03	8.44327926e-01
7.00000000e-03	8.09016994e-01
7.20000000e-03	7.70513243e-01
7.40000000e-03	7.28968627e-01
7.60000000e-03	6.84547106e-01
7.80000000e-03	6.37423990e-01
8.00000000e-03	5.87785252e-01
8.20000000e-03	5.35826795e-01
8.40000000e-03	4.81753674e-01
8.60000000e-03	4.25779292e-01
8.80000000e-03	3.68124553e-01
9.00000000e-03	3.09016994e-01
9.20000000e-03	2.48689887e-01
9.40000000e-03	1.87381315e-01
9.60000000e-03	1.25333234e-01
9.80000000e-03	6.27905195e-02
1.00000000e-02	5.66553890e-16
1.02000000e-02	-6.27905195e-02
1.04000000e-02	-1.25333234e-01
1.06000000e-02	-1.87381315e-01
1.08000000e-02	-2.48689887e-01
1.10000000e-02	-3.09016994e-01
1.12000000e-02	-3.68124553e-01
1.14000000e-02	-4.25779292e-01
1.16000000e-02	-4.81753674e-01
