time	V(n001)
0.00000000e+00	0.00000000e+00
2.00000000e-04	5.38578500e-02
4.00000000e-04	1.07503148e-01
6.00000000e-04	1.60724179e-01
8.00000000e-04	2.13310906e-01
1.00000000e-03	2.65055792e-01
1.20000000e-03	3.15754625e-01
1.40000000e-03	3.65207317e-01
1.60000000e-03	4.13218704e-01
1.80000000e-03	4.59599305e-01
2.00000000e-03	5.04166077e-01
2.20000000e-03	5.46743137e-01
2.40000000e-03	5.87162451e-01
2.60000000e-03	6.25264502e-01
2.80000000e-03	6.60898921e-01
3.00000000e-03	6.93925074e-01
3.20000000e-03	7.24212621e-01
3.40000000e-03	7.51642032e-01
3.60000000e-03	7.76105055e-01
3.80000000e-03	7.97505146e-01
4.00000000e-03	8.15757849e-01
4.20000000e-03	8.30791128e-01
4.40000000e-03	8.42545654e-01
4.60000000e-03	8.50975038e-01
4.80000000e-03	8.56046011e-01
5.00000000e-03	8.57738562e-01
5.20000000e-03	8.56046011e-01
5.40000000e-03	8.50975038e-01
5.60000000e-03	8.42545654e-01
5.80000000e-03	8.30791128e-01
6.00000000e-03	8.15757849e-01
6.20000000e-03	7.97505146e-01
6.40000000e-03	7.76105055e-01
6.60000000e-03	7.51642032e-01
6.80000000e-03	7.24212621e-01
7.00000000e-03	6.93925074e-01
7.20000000e-03	6.60898921e-01
7.40000000e-03	6.25264502e-01
7.60000000e-03	5.87162451e-01
7.80000000e-03	5.46743137e-01
8.00000000e-03	5.04166077e-01
8.20000000e-03	4.59599305e-01
8.40000000e-03	4.13218704e-01
8.60000000e-03	3.65207317e-01
8.80000000e-03	3.15754625e-01
9.00000000e-03	2.65055792e-01
9.20000000e-03	2.13310906e-01
9.40000000e-03	1.60724179e-01
9.60000000e-03	1.07503148e-01
9.80000000e-03	5.38578500e-02
1.00000000e-02	4.85955119e-16
1.02000000e-02	-5.38578500e-02
1.04000000e-02	-1.07503148e-01
1.06000000e-02	-1.60724179e-01
1.08000000e-02	-2.13310906e-01
1.10000000e-02	-2.65055792e-01
1.12000000e-02	-3.15754625e-01
1.14000000e-02	-3.65207317e-01
1.16000000e-02	-4.13218704e-01
1.18000000e-02	-4.59599305e-01
1.20000000e-02	-5.04166077e-01
1.22000000e-02	-5.46743137e-01
1.24000000e-02	-5.87162451e-01
1.26000000e-02	-6.25264502e-01
1.28000000e-02	-6.60898921e-01
1.30000000e-02	-6.93925074e-01
1.32000000e-02	-7.24212621e-01
1.34000000e-02	-7.51642032e-01
1.36000000e-02	-7.76105055e-01
1.38000000e-02	-7.97505146e-01
1.40000000e-02	-8.15757849e-01
1.42000000e-02	-8.30791128e-01
1.44000000e-02	-8.42545654e-01
1.46000000e-02	-8.50975038e-01
1.48000000e-02	-8.56046011e-01
1.50000000e-02	-8.57738562e-01
1.52000000e-02	-8.56046011e-01
1.54000000e-02	-8.50975038e-01
1.56000000e-02	-8.42545654e-01
1.58000000e-02	-8.30791128e-01
1.60000000e-02	-8.15757849e-01
1.62000000e-02	-7.97505146e-01
1.64000000e-02	-7.76105055e-01
1.66000000e-02	-7.51642032e-01
1.68000000e-02	-7.24212621e-01
1.70000000e-02	-6.93925074e-01
1.72000000e-02	-6.60898921e-01
1.74000000e-02	-6.25264502e-01
1.76000000e-02	-5.87162451e-01
1.78000000e-02	-5.46743137e-01
1.80000000e-02	-5.04166077e-01
1.82000000e-02	-4.59599305e-01
1.84000000e-02	-4.13218704e-01
1.86000000e-02	-3.65207317e-01
1.88000000e-02	-3.15754625e-01
1.90000000e-02	-2.65055792e-01
1.92000000e-02	-2.13310906e-01
1.94000000e-02	-1.60724179e-01
1.96000000e-02	-1.07503148e-01
1.98000000e-02	-5.38578500e-02
2.00000000e-02	-9.71910238e-16
2.02000000e-02	2.30004697e-01
2.04000000e-02	4.14996580e-01
2.06000000e-02	5.33594701e-01
2.08000000e-02	5.78085886e-01
2.10000000e-02	5.54863264e-01
2.12000000e-02	4.82227073e-01
2.14000000e-02	3.86137683e-01
2.16000000e-02	2.94848359e-01
2.18000000e-02	2.33487953e-01
2.20000000e-02	2.19598608e-01
2.22000000e-02	2.60387187e-01
2.24000000e-02	3.52079638e-01
2.26000000e-02	4.81351660e-01
2.28000000e-02	6.28427091e-01
2.30000000e-02	7.71155474e-01
2.32000000e-02	8.89247089e-01
2.34000000e-02	9.67871697e-01
2.36000000e-02	1.00000000e+00
2.38000000e-02	9.87142391e-01
2.40000000e-02	9.38459837e-01
2.42000000e-02	8.68524411e-01
2.44000000e-02	7.94237345e-01
2.46000000e-02	7.31532915e-01
2.48000000e-02	6.92492420e-01
2.50000000e-02	6.83373325e-01
2.52000000e-02	7.03854342e-01
2.54000000e-02	7.47551567e-01
2.56000000e-02	8.03621944e-01
2.58000000e-02	8.59082095e-01
2.60000000e-02	9.01364121e-01
2.62000000e-02	9.20619424e-01
2.64000000e-02	9.11362092e-01
2.66000000e-02	8.73193905e-01
2.68000000e-02	8.10540651e-01
2.70000000e-02	7.31517145e-01
2.72000000e-02	6.46191195e-01
2.74000000e-02	5.64609152e-01
2.76000000e-02	4.94964505e-01
2.78000000e-02	4.42238064e-01
2.80000000e-02	4.07528238e-01
2.82000000e-02	3.88147184e-01
2.84000000e-02	3.78411714e-01
2.86000000e-02	3.70934370e-01
2.88000000e-02	3.58141121e-01
2.90000000e-02	3.33719227e-01
2.92000000e-02	2.93732335e-01
2.94000000e-02	2.37219627e-01
2.96000000e-02	1.66203970e-01
2.98000000e-02	8.51484585e-02
3.00000000e-02	1.24042457e-16
3.02000000e-02	-8.29747279e-02
3.04000000e-02	-1.58331470e-01
3.06000000e-02	-2.22359262e-01
3.08000000e-02	-2.73607805e-01
3.10000000e-02	-3.12960645e-01
3.12000000e-02	-3.43272335e-01
3.14000000e-02	-3.68667084e-01
3.16000000e-02	-3.93652217e-01
3.18000000e-02	-4.22223350e-01
3.20000000e-02	-4.57127391e-01
3.22000000e-02	-4.99408817e-01
3.24000000e-02	-5.48303523e-01
3.26000000e-02	-6.01475870e-01
3.28000000e-02	-6.55531364e-01
3.30000000e-02	-7.06691173e-01
3.32000000e-02	-7.51492635e-01
3.34000000e-02	-7.87384555e-01
3.36000000e-02	-8.13114641e-01
3.38000000e-02	-8.28851972e-01
