time	V(n001)
0.00000000e+00	0.00000000e+00
2.00000000e-04	6.20526726e-02
4.00000000e-04	1.23860452e-01
6.00000000e-04	1.85179410e-01
8.00000000e-04	2.45767550e-01
1.00000000e-03	3.05385758e-01
1.20000000e-03	3.63798747e-01
1.40000000e-03	4.20775990e-01
1.60000000e-03	4.76092621e-01
1.80000000e-03	5.29530333e-01
2.00000000e-03	5.80878230e-01
2.20000000e-03	6.29933666e-01
2.40000000e-03	6.76503042e-01
2.60000000e-03	7.20402569e-01
2.80000000e-03	7.61458997e-01
3.00000000e-03	7.99510293e-01
3.20000000e-03	8.34406288e-01
3.40000000e-03	8.66009263e-01
3.60000000e-03	8.94194494e-01
3.80000000e-03	9.18850749e-01
4.00000000e-03	9.39880719e-01
4.20000000e-03	9.57201410e-01
4.40000000e-03	9.70744463e-01
4.60000000e-03	9.80456432e-01
4.80000000e-03	9.86298988e-01
5.00000000e-03	9.88249071e-01
5.20000000e-03	9.86298988e-01
5.40000000e-03	9.80456432e-01
5.60000000e-03	9.70744463e-01
5.80000000e-03	9.57201410e-01
6.00000000e-03	9.39880719e-01
6.20000000e-03	9.18850749e-01
6.40000000e-03	8.94194494e-01
6.60000000e-03	8.66009263e-01
6.80000000e-03	8.34406288e-01
7.00000000e-03	7.99510293e-01
7.20000000e-03	7.61458997e-01
7.40000000e-03	7.20402569e-01
7.60000000e-03	6.76503042e-01
7.80000000e-03	6.29933666e-01
8.00000000e-03	5.80878230e-01
8.20000000e-03	5.29530333e-01
8.40000000e-03	4.76092621e-01
8.60000000e-03	4.20775990e-01
8.80000000e-03	3.63798747e-01
9.00000000e-03	3.05385758e-01
9.20000000e-03	2.45767550e-01
9.40000000e-03	1.85179410e-01
9.60000000e-03	1.23860452e-01
9.80000000e-03	6.20526726e-02
1.00000000e-02	5.59896355e-16
1.02000000e-02	-6.20526726e-02
1.04000000e-02	-1.23860452e-01
1.06000000e-02	-1.85179410e-01
1.08000000e-02	-2.45767550e-01
1.10000000e-02	-3.05385758e-01
1.12000000e-02	-3.63798747e-01
1.14000000e-02	-4.20775990e-01
1.16000000e-02	-4.76092621e-01
1.18000000e-02	-5.29530333e-01
1.20000000e-02	-5.80878230e-01
1.22000000e-02	-6.29933666e-01
1.24000000e-02	-6.76503042e-01
1.26000000e-02	-7.20402569e-01
1.28000000e-02	-7.61458997e-01
1.30000000e-02	-7.99510293e-01
1.32000000e-02	-8.34406288e-01
1.34000000e-02	-8.66009263e-01
1.36000000e-02	-8.94194494e-01
1.38000000e-02	-9.18850749e-01
1.40000000e-02	-9.39880719e-01
1.42000000e-02	-9.57201410e-01
1.44000000e-02	-9.70744463e-01
1.46000000e-02	-9.80456432e-01
1.48000000e-02	-9.86298988e-01
1.50000000e-02	-9.88249071e-01
1.52000000e-02	-9.86298988e-01
1.54000000e-02	-9.80456432e-01
1.56000000e-02	-9.70744463e-01
1.58000000e-02	-9.57201410e-01
1.60000000e-02	-9.39880719e-01
1.62000000e-02	-9.18850749e-01
1.64000000e-02	-8.94194494e-01
1.66000000e-02	-8.66009263e-01
1.68000000e-02	-8.34406288e-01
1.70000000e-02	-7.99510293e-01
1.72000000e-02	-7.61458997e-01
1.74000000e-02	-7.20402569e-01
1.76000000e-02	-6.76503042e-01
1.78000000e-02	-6.29933666e-01
1.80000000e-02	-5.80878230e-01
1.82000000e-02	-5.29530333e-01
1.84000000e-02	-4.76092621e-01
1.86000000e-02	-4.20775990e-01
1.88000000e-02	-3.63798747e-01
1.90000000e-02	-3.05385758e-01
1.92000000e-02	-2.45767550e-01
1.94000000e-02	-1.85179410e-01
1.96000000e-02	-1.23860452e-01
1.98000000e-02	-6.20526726e-02
2.00000000e-02	-5.03906720e-16
2.02000000e-02	2.79237027e-02
2.04000000e-02	5.57372033e-02
2.06000000e-02	8.33307346e-02
2.08000000e-02	1.10595398e-01
2.10000000e-02	1.37423591e-01
2.12000000e-02	1.63709436e-01
2.14000000e-02	1.89349195e-01
2.16000000e-02	2.14241679e-01
2.18000000e-02	2.38288650e-01
2.20000000e-02	2.61395203e-01
2.22000000e-02	2.83470150e-01
2.24000000e-02	3.04426369e-01
2.26000000e-02	3.24181156e-01
2.28000000e-02	3.42656549e-01
2.30000000e-02	3.59779632e-01
2.32000000e-02	3.75482830e-01
2.34000000e-02	3.89704168e-01
2.36000000e-02	4.02387522e-01
2.38000000e-02	4.13482837e-01
2.40000000e-02	4.22946324e-01
2.42000000e-02	4.30740634e-01
2.44000000e-02	4.36835009e-01
2.46000000e-02	4.41205395e-01
2.48000000e-02	4.43834544e-01
2.50000000e-02	4.44712082e-01
2.52000000e-02	4.43834544e-01
2.54000000e-02	4.41205395e-01
2.56000000e-02	4.36835009e-01
2.58000000e-02	4.30740634e-01
2.60000000e-02	4.22946324e-01
2.62000000e-02	4.13482837e-01
2.64000000e-02	4.02387522e-01
2.66000000e-02	3.89704168e-01
2.68000000e-02	3.75482830e-01
2.70000000e-02	3.59779632e-01
2.72000000e-02	3.42656549e-01
2.74000000e-02	3.24181156e-01
2.76000000e-02	3.04426369e-01
2.78000000e-02	2.83470150e-01
2.80000000e-02	2.61395203e-01
2.82000000e-02	2.38288650e-01
2.84000000e-02	2.14241679e-01
2.86000000e-02	1.89349195e-01
2.88000000e-02	1.63709436e-01
2.90000000e-02	1.37423591e-01
2.92000000e-02	1.10595398e-01
2.94000000e-02	8.33307346e-02
2.96000000e-02	5.57372033e-02
2.98000000e-02	2.79237027e-02
3.00000000e-02	1.63384568e-16
3.02000000e-02	1.12450269e-01
3.04000000e-02	1.96065589e-01
3.06000000e-02	2.37730727e-01
3.08000000e-02	2.31014286e-01
3.10000000e-02	1.76598156e-01
3.12000000e-02	8.17043215e-02
3.14000000e-02	-4.13330015e-02
3.16000000e-02	-1.77095356e-01
3.18000000e-02	-3.09389226e-01
3.20000000e-02	-4.23501199e-01
3.22000000e-02	-5.08094557e-01
3.24000000e-02	-5.56512932e-01
3.26000000e-02	-5.67354012e-01
3.28000000e-02	-5.44285616e-01
3.30000000e-02	-4.95181941e-01
3.32000000e-02	-4.30745378e-01
3.34000000e-02	-3.62838081e-01
3.36000000e-02	-3.02771633e-01
3.38000000e-02	-2.59791606e-01
3.40000000e-02	-2.39950699e-01
3.42000000e-02	-2.45497573e-01
3.44000000e-02	-2.74829138e-01
3.46000000e-02	-3.22973700e-01
3.48000000e-02	-3.82502032e-01
3.50000000e-02	-4.44712082e-01
3.52000000e-02	-5.00906343e-01
3.54000000e-02	-5.43580770e-01
3.56000000e-02	-5.67368858e-01
3.58000000e-02	-5.69628767e-01
3.60000000e-02	-5.50618038e-01
3.62000000e-02	-5.13260625e-01
3.64000000e-02	-4.62566416e-01
3.66000000e-02	-4.04806737e-01
3.68000000e-02	-3.46575493e-01
3.70000000e-02	-2.93872253e-01
3.72000000e-02	-2.51331080e-01
3.74000000e-02	-2.21690408e-01
3.76000000e-02	-2.05559663e-01
3.78000000e-02	-2.01493888e-01
3.80000000e-02	-2.06344733e-01
3.82000000e-02	-2.15820574e-01
3.84000000e-02	-2.25164616e-01
3.86000000e-02	-2.29849994e-01
3.88000000e-02	-2.26195628e-01
3.90000000e-02	-2.11824060e-01
3.92000000e-02	-1.85909606e-01
3.94000000e-02	-1.49197406e-01
3.96000000e-02	-1.03806623e-01
3.98000000e-02	-5.28596416e-02
4.00000000e-02	-2.98402891e-15
4.02000000e-02	8.52563342e-02
4.04000000e-02	1.65483173e-01
4.06000000e-02	2.38250513e-01
4.08000000e-02	3.02235251e-01
4.10000000e-02	3.57293203e-01
4.12000000e-02	4.04365369e-01
4.14000000e-02	4.45242902e-01
4.16000000e-02	4.82232867e-01
4.18000000e-02	5.17777486e-01
4.20000000e-02	5.54082289e-01
4.22000000e-02	5.92803501e-01
4.24000000e-02	6.34833413e-01
4.26000000e-02	6.80206366e-01
4.28000000e-02	7.28129936e-01
4.30000000e-02	7.77128442e-01
4.32000000e-02	8.25271451e-01
4.34000000e-02	8.70450197e-01
4.36000000e-02	9.10660890e-01
4.38000000e-02	9.44255738e-01
4.40000000e-02	9.70129692e-01
4.42000000e-02	9.87821882e-01
4.44000000e-02	9.97523854e-01
4.46000000e-02	1.00000000e+00
4.48000000e-02	9.96437184e-01
4.50000000e-02	9.88249071e-01
4.52000000e-02	9.76865083e-01
4.54000000e-02	9.63533897e-01
4.56000000e-02	9.49167363e-01
4.58000000e-02	9.34243356e-01
4.60000000e-02	9.18776727e-01
4.62000000e-02	9.02357591e-01
4.64000000e-02	8.84246990e-01
4.66000000e-02	8.63512825e-01
4.68000000e-02	8.39184639e-01
4.70000000e-02	8.10404710e-01
4.72000000e-02	7.76554995e-01
4.74000000e-02	7.37344176e-01
4.76000000e-02	6.92845598e-01
4.78000000e-02	6.43484251e-01
4.80000000e-02	5.89978011e-01
4.82000000e-02	5.33244281e-01
4.84000000e-02	4.74287072e-01
4.86000000e-02	4.14081253e-01
4.88000000e-02	3.53469849e-01
4.90000000e-02	2.93087443e-01
4.92000000e-02	2.33318195e-01
4.94000000e-02	1.74291723e-01
4.96000000e-02	1.15914630e-01
4.98000000e-02	5.79307896e-02
5.00000000e-02	5.12508926e-16
5.02000000e-02	-5.82171332e-02
5.04000000e-02	-1.16980262e-01
5.06000000e-02	-1.76406816e-01
5.08000000e-02	-2.36433502e-01
5.10000000e-02	-2.96805515e-01
5.12000000e-02	-3.57093130e-01
5.14000000e-02	-4.16731636e-01
5.16000000e-02	-4.75077645e-01
5.18000000e-02	-5.31473065e-01
5.20000000e-02	-5.85307569e-01
5.22000000e-02	-6.36071241e-01
5.24000000e-02	-6.83390985e-01
5.26000000e-02	-7.27046957e-01
5.28000000e-02	-7.66968253e-01
5.30000000e-02	-8.03209989e-01
5.32000000e-02	-8.35916267e-01
5.34000000e-02	-8.65275181e-01
5.36000000e-02	-8.91472618e-01
5.38000000e-02	-9.14651332e-01
5.40000000e-02	-9.34880597e-01
5.42000000e-02	-9.52139880e-01
5.44000000e-02	-9.66317860e-01
5.46000000e-02	-9.77225902e-01
5.48000000e-02	-9.84623155e-01
5.50000000e-02	-9.88249071e-01
5.52000000e-02	-9.87858402e-01
5.54000000e-02	-9.83253709e-01
5.56000000e-02	-9.74311134e-01
5.58000000e-02	-9.60996350e-01
5.60000000e-02	-9.43369186e-01
5.62000000e-02	-9.21577049e-01
5.64000000e-02	-8.95838806e-01
5.66000000e-02	-8.66421921e-01
5.68000000e-02	-8.33616432e-01
5.70000000e-02	-7.97709459e-01
5.72000000e-02	-7.58963645e-01
5.74000000e-02	-7.17602140e-01
5.76000000e-02	-6.73801635e-01
5.78000000e-02	-6.27693769e-01
5.80000000e-02	-5.79374046e-01
5.82000000e-02	-5.28916421e-01
5.84000000e-02	-4.76391076e-01
5.86000000e-02	-4.21882622e-01
5.88000000e-02	-3.65506103e-01
5.90000000e-02	-3.07418656e-01
5.92000000e-02	-2.47825415e-01
5.94000000e-02	-1.86979133e-01
5.96000000e-02	-1.25173887e-01
5.98000000e-02	-6.27340153e-02
