time	V(n001)
0.00000000e+00	0.00000000e+00
2.00000000e-04	4.18603464e-02
4.00000000e-04	8.35554890e-02
6.00000000e-04	1.24920876e-01
8.00000000e-04	1.65793258e-01
1.00000000e-03	2.06011330e-01
1.20000000e-03	2.45416368e-01
1.40000000e-03	2.83852861e-01
1.60000000e-03	3.21169116e-01
1.80000000e-03	3.57217863e-01
2.00000000e-03	3.91856835e-01
2.20000000e-03	4.24949326e-01
2.40000000e-03	4.56364737e-01
2.60000000e-03	4.85979085e-01
2.80000000e-03	5.13675495e-01
3.00000000e-03	5.39344663e-01
3.20000000e-03	5.62885284e-01
3.40000000e-03	5.84204453e-01
3.60000000e-03	6.03218035e-01
3.80000000e-03	6.19850991e-01
4.00000000e-03	6.34037678e-01
4.20000000e-03	6.45722107e-01
4.40000000e-03	6.54858167e-01
4.60000000e-03	6.61409801e-01
4.80000000e-03	6.65351152e-01
5.00000000e-03	6.66666667e-01
5.20000000e-03	6.65351152e-01
5.40000000e-03	6.61409801e-01
5.60000000e-03	6.54858167e-01
5.80000000e-03	6.45722107e-01
6.00000000e-03	6.34037678e-01
6.20000000e-03	6.19850991e-01
6.40000000e-03	6.03218035e-01
6.60000000e-03	5.84204453e-01
6.80000000e-03	5.62885284e-01
7.00000000e-03	5.39344663e-01
7.20000000e-03	5.13675495e-01
7.40000000e-03	4.85979085e-01
7.60000000e-03	4.56364737e-01
7.80000000e-03	4.24949326e-01
8.00000000e-03	3.91856835e-01
8.20000000e-03	3.57217863e-01
8.40000000e-03	3.21169116e-01
8.60000000e-03	2.83852861e-01
8.80000000e-03	2.45416368e-01
9.00000000e-03	2.06011330e-01
9.20000000e-03	1.65793258e-01
9.40000000e-03	1.24920876e-01
9.60000000e-03	8.35554890e-02
9.80000000e-03	4.18603464e-02
1.00000000e-02	3.77702593e-16
1.02000000e-02	-4.18603464e-02
1.04000000e-02	-8.35554890e-02
1.06000000e-02	-1.24920876e-01
1.08000000e-02	-1.65793258e-01
1.10000000e-02	-2.06011330e-01
1.12000000e-02	-2.45416368e-01
1.14000000e-02	-2.83852861e-01
1.16000000e-02	-3.21169116e-01
1.18000000e-02	-3.57217863e-01
1.20000000e-02	-3.91856835e-01
1.22000000e-02	-4.24949326e-01
1.24000000e-02	-4.56364737e-01
1.26000000e-02	-4.85979085e-01
1.28000000e-02	-5.13675495e-01
1.30000000e-02	-5.39344663e-01
1.32000000e-02	-5.62885284e-01
1.34000000e-02	-5.84204453e-01
1.36000000e-02	-6.03218035e-01
1.38000000e-02	-6.19850991e-01
1.40000000e-02	-6.34037678e-01
1.42000000e-02	-6.45722107e-01
1.44000000e-02	-6.54858167e-01
1.46000000e-02	-6.61409801e-01
1.48000000e-02	-6.65351152e-01
1.50000000e-02	-6.66666667e-01
1.52000000e-02	-6.65351152e-01
1.54000000e-02	-6.61409801e-01
1.56000000e-02	-6.54858167e-01
1.58000000e-02	-6.45722107e-01
1.60000000e-02	-6.34037678e-01
