time	V(n001)
0.00000000e+00	0.00000000e+00
2.00000000e-04	3.91092247e-02
4.00000000e-04	7.80641031e-02
6.00000000e-04	1.16710898e-01
8.00000000e-04	1.54897089e-01
1.00000000e-03	1.92471971e-01
1.20000000e-03	2.29287255e-01
1.40000000e-03	2.65197646e-01
1.60000000e-03	3.00061424e-01
1.80000000e-03	3.33740996e-01
2.00000000e-03	3.66103445e-01
2.20000000e-03	3.97021051e-01
2.40000000e-03	4.26371796e-01
2.60000000e-03	4.54039846e-01
2.80000000e-03	4.79916009e-01
3.00000000e-03	5.03898162e-01
3.20000000e-03	5.25891660e-01
3.40000000e-03	5.45809703e-01
3.60000000e-03	5.63573685e-01
3.80000000e-03	5.79113499e-01
4.00000000e-03	5.92367817e-01
4.20000000e-03	6.03284329e-01
4.40000000e-03	6.11819954e-01
4.60000000e-03	6.17941005e-01
4.80000000e-03	6.21623325e-01
5.00000000e-03	6.22852382e-01
5.20000000e-03	6.21623325e-01
5.40000000e-03	6.17941005e-01
5.60000000e-03	6.11819954e-01
5.80000000e-03	6.03284329e-01
6.00000000e-03	5.92367817e-01
6.20000000e-03	5.79113499e-01
6.40000000e-03	5.63573685e-01
6.60000000e-03	5.45809703e-01
6.80000000e-03	5.25891660e-01
7.00000000e-03	5.03898162e-01
7.20000000e-03	4.79916009e-01
7.40000000e-03	4.54039846e-01
7.60000000e-03	4.26371796e-01
7.80000000e-03	3.97021051e-01
8.00000000e-03	3.66103445e-01
8.20000000e-03	3.33740996e-01
8.40000000e-03	3.00061424e-01
8.60000000e-03	2.65197646e-01
8.80000000e-03	2.29287255e-01
9.00000000e-03	1.92471971e-01
9.20000000e-03	1.54897089e-01
9.40000000e-03	1.16710898e-01
9.60000000e-03	7.80641031e-02
9.80000000e-03	3.91092247e-02
1.00000000e-02	3.52879440e-16
1.02000000e-02	-3.91092247e-02
1.04000000e-02	-7.80641031e-02
1.06000000e-02	-1.16710898e-01
1.08000000e-02	-1.54897089e-01
1.10000000e-02	-1.92471971e-01
1.12000000e-02	-2.29287255e-01
1.14000000e-02	-2.65197646e-01
1.16000000e-02	-3.00061424e-01
1.18000000e-02	-3.33740996e-01
1.20000000e-02	-3.66103445e-01
1.22000000e-02	-3.97021051e-01
1.24000000e-02	-4.26371796e-01
1.26000000e-02	-4.54039846e-01
1.28000000e-02	-4.79916009e-01
1.30000000e-02	-5.03898162e-01
1.32000000e-02	-5.25891660e-01
1.34000000e-02	-5.45809703e-01
1.36000000e-02	-5.63573685e-01
1.38000000e-02	-5.79113499e-01
1.40000000e-02	-5.92367817e-01
1.42000000e-02	-6.03284329e-01
1.44000000e-02	-6.11819954e-01
1.46000000e-02	-6.17941005e-01
1.48000000e-02	-6.21623325e-01
1.50000000e-02	-6.22852382e-01
1.52000000e-02	-6.21623325e-01
1.54000000e-02	-6.17941005e-01
1.56000000e-02	-6.11819954e-01
1.58000000e-02	-6.03284329e-01
1.60000000e-02	-5.92367817e-01
1.62000000e-02	-5.79113499e-01
1.64000000e-02	-5.63573685e-01
1.66000000e-02	-5.45809703e-01
1.68000000e-02	-5.25891660e-01
1.70000000e-02	-5.03898162e-01
1.72000000e-02	-4.79916009e-01
1.74000000e-02	-4.54039846e-01
1.76000000e-02	-4.26371796e-01
1.78000000e-02	-3.97021051e-01
1.80000000e-02	-3.66103445e-01
1.82000000e-02	-3.33740996e-01
1.84000000e-02	-3.00061424e-01
1.86000000e-02	-2.65197646e-01
1.88000000e-02	-2.29287255e-01
1.90000000e-02	-1.92471971e-01
1.92000000e-02	-1.54897089e-01
1.94000000e-02	-1.16710898e-01
1.96000000e-02	-7.80641031e-02
1.98000000e-02	-3.91092247e-02
2.00000000e-02	-1.05863832e-15
2.02000000e-02	5.86638370e-02
2.04000000e-02	1.17096155e-01
2.06000000e-02	1.75066347e-01
2.08000000e-02	2.32345633e-01
2.10000000e-02	2.88707957e-01
2.12000000e-02	3.43930882e-01
2.14000000e-02	3.97796469e-01
2.16000000e-02	4.50092135e-01
2.18000000e-02	5.00611494e-01
2.20000000e-02	5.49155167e-01
2.22000000e-02	5.95531576e-01
2.24000000e-02	6.39557694e-01
2.26000000e-02	6.81059769e-01
2.28000000e-02	7.19874013e-01
2.30000000e-02	7.55847243e-01
2.32000000e-02	7.88837490e-01
2.34000000e-02	8.18714555e-01
2.36000000e-02	8.45360528e-01
2.38000000e-02	8.68670249e-01
2.40000000e-02	8.88551725e-01
2.42000000e-02	9.04926494e-01
2.44000000e-02	9.17729931e-01
2.46000000e-02	9.26911508e-01
2.48000000e-02	9.32434988e-01
2.50000000e-02	9.34278573e-01
2.52000000e-02	9.32434988e-01
2.54000000e-02	9.26911508e-01
2.56000000e-02	9.17729931e-01
2.58000000e-02	9.04926494e-01
2.60000000e-02	8.88551725e-01
2.62000000e-02	8.68670249e-01
2.64000000e-02	8.45360528e-01
2.66000000e-02	8.18714555e-01
2.68000000e-02	7.88837490e-01
2.70000000e-02	7.55847243e-01
2.72000000e-02	7.19874013e-01
2.74000000e-02	6.81059769e-01
2.76000000e-02	6.39557694e-01
2.78000000e-02	5.95531576e-01
2.80000000e-02	5.49155167e-01
2.82000000e-02	5.00611494e-01
2.84000000e-02	4.50092135e-01
2.86000000e-02	3.97796469e-01
2.88000000e-02	3.43930882e-01
2.90000000e-02	2.88707957e-01
2.92000000e-02	2.32345633e-01
2.94000000e-02	1.75066347e-01
2.96000000e-02	1.17096155e-01
2.98000000e-02	5.86638370e-02
3.00000000e-02	3.43248379e-16
3.02000000e-02	2.98080528e-02
3.04000000e-02	4.16046969e-02
3.06000000e-02	2.72853697e-02
3.08000000e-02	-1.70432245e-02
3.10000000e-02	-9.07930800e-02
3.12000000e-02	-1.89256774e-01
3.14000000e-02	-3.04508004e-01
3.16000000e-02	-4.26680349e-01
3.18000000e-02	-5.45423236e-01
3.20000000e-02	-6.51323849e-01
3.22000000e-02	-7.37103019e-01
3.24000000e-02	-7.98437394e-01
3.26000000e-02	-8.34321530e-01
3.28000000e-02	-8.46952448e-01
3.30000000e-02	-8.41185700e-01
3.32000000e-02	-8.23667181e-01
3.34000000e-02	-8.01781975e-01
3.36000000e-02	-7.82576766e-01
3.38000000e-02	-7.71805044e-01
3.40000000e-02	-7.73217177e-01
3.42000000e-02	-7.88175479e-01
3.44000000e-02	-8.15624353e-01
3.46000000e-02	-8.52394977e-01
3.48000000e-02	-8.93779650e-01
3.50000000e-02	-9.34278573e-01
3.52000000e-02	-9.68404974e-01
3.54000000e-02	-9.91434459e-01
3.56000000e-02	-1.00000000e+00
3.58000000e-02	-9.92461921e-01
3.60000000e-02	-9.69017909e-01
3.62000000e-02	-9.31556048e-01
3.64000000e-02	-8.83288787e-01
3.66000000e-02	-8.28233077e-01
3.68000000e-02	-7.70618395e-01
3.70000000e-02	-7.14308557e-01
3.72000000e-02	-6.62315360e-01
3.74000000e-02	-6.16464104e-01
3.76000000e-02	-5.77246112e-01
3.78000000e-02	-5.43865340e-01
3.80000000e-02	-5.14459140e-01
3.82000000e-02	-4.86450798e-01
3.84000000e-02	-4.56976409e-01
3.86000000e-02	-4.23322442e-01
3.88000000e-02	-3.83313335e-01
3.90000000e-02	-3.35599485e-01
3.92000000e-02	-2.79813053e-01
3.94000000e-02	-2.16579377e-01
3.96000000e-02	-1.47392315e-01
3.98000000e-02	-7.43799246e-02
4.00000000e-02	-1.88070960e-15
4.02000000e-02	5.37335297e-02
4.04000000e-02	1.04297177e-01
4.06000000e-02	1.50159412e-01
4.08000000e-02	1.90486337e-01
4.10000000e-02	2.25187080e-01
4.12000000e-02	2.54854713e-01
4.14000000e-02	2.80618126e-01
4.16000000e-02	3.03931366e-01
4.18000000e-02	3.26333664e-01
4.20000000e-02	3.49215075e-01
4.22000000e-02	3.73619448e-01
4.24000000e-02	4.00109158e-01
4.26000000e-02	4.28705848e-01
4.28000000e-02	4.58910085e-01
4.30000000e-02	4.89791810e-01
4.32000000e-02	5.20134351e-01
4.34000000e-02	5.48608640e-01
4.36000000e-02	5.73951771e-01
4.38000000e-02	5.95125210e-01
4.40000000e-02	6.11432489e-01
4.42000000e-02	6.22583142e-01
4.44000000e-02	6.28697893e-01
4.46000000e-02	6.30258505e-01
4.48000000e-02	6.28013010e-01
4.50000000e-02	6.22852382e-01
4.52000000e-02	6.15677527e-01
4.54000000e-02	6.07275433e-01
4.56000000e-02	5.98220803e-01
4.58000000e-02	5.88814821e-01
4.60000000e-02	5.79066846e-01
4.62000000e-02	5.68718546e-01
4.64000000e-02	5.57304186e-01
4.66000000e-02	5.44236302e-01
4.68000000e-02	5.28903256e-01
4.70000000e-02	5.10764461e-01
4.72000000e-02	4.89430390e-01
4.74000000e-02	4.64717438e-01
4.76000000e-02	4.36671831e-01
4.78000000e-02	4.05561422e-01
4.80000000e-02	3.71838659e-01
4.82000000e-02	3.36081743e-01
4.84000000e-02	2.98923461e-01
4.86000000e-02	2.60978231e-01
4.88000000e-02	2.22777379e-01
4.90000000e-02	1.84720854e-01
4.92000000e-02	1.47050777e-01
4.94000000e-02	1.09848840e-01
4.96000000e-02	7.30561814e-02
4.98000000e-02	3.65113729e-02
5.00000000e-02	3.23013110e-16
5.02000000e-02	-3.66918433e-02
5.04000000e-02	-7.37278051e-02
5.06000000e-02	-1.11181896e-01
5.08000000e-02	-1.49014225e-01
5.10000000e-02	-1.87064200e-01
5.12000000e-02	-2.25060982e-01
5.14000000e-02	-2.62648658e-01
5.16000000e-02	-2.99421726e-01
5.18000000e-02	-3.34965419e-01
5.20000000e-02	-3.68895073e-01
5.22000000e-02	-4.00889309e-01
5.24000000e-02	-4.30712981e-01
5.26000000e-02	-4.58227528e-01
5.28000000e-02	-4.83388265e-01
5.30000000e-02	-5.06229927e-01
5.32000000e-02	-5.26843337e-01
5.34000000e-02	-5.45347042e-01
5.36000000e-02	-5.61858199e-01
5.38000000e-02	-5.76466781e-01
5.40000000e-02	-5.89216448e-01
